project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.17647058823529413,false,PACKAGE,15,6,0.4909090909090909,false,2237,19,0.03212615491980053,0,PACKAGE,.,.,com.pump.image.pixel,pixel,7493,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,1,1,0.6666666666666666,false,87,2,0.0035834413017715376,0,PACKAGE,.,.,com.pump.desktop.edit,edit,1358,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.10526315789473684,false,PACKAGE,7,8,0.7142857142857143,false,1881,19,0.009344448705526335,0,PACKAGE,.,.,com.pump.graphics.vector,vector,5459,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.14035087719298245,false,PACKAGE,1,6,0.875,false,3028,57,0.00357415376941652,0,PACKAGE,.,.,com.pump.image.transition,transition,5468,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.6,false,PACKAGE,1,3,0.6,false,446,5,0.004569061334321174,0,PACKAGE,.,.,com.pump.job,job,1386,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.058823529411764705,false,PACKAGE,0,12,1.0,false,25036,17,0.003337730402180565,0,PACKAGE,.,.,com.pump.showcase.resourcegenerator,resourcegenerator,1464,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.16666666666666666,false,PACKAGE,1,2,0.6666666666666666,false,358,6,0.004283423871124386,0,PACKAGE,.,.,com.pump.swing.popup,popup,9706,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.14285714285714285,false,PACKAGE,1,7,0.9166666666666666,false,353,7,0.00357415376941652,0,PACKAGE,.,.,com.pump.image.thumbnail.generator,generator,9715,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.2857142857142857,false,PACKAGE,1,5,0.9,false,557,8,0.004569061334321174,0,PACKAGE,.,.,com.pump.awt.text,text,3617,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.4,false,PACKAGE,2,3,0.7142857142857143,false,312,5,0.004985689106074437,0,PACKAGE,.,.,com.pump.icon.button,button,9803,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.05263157894736842,false,PACKAGE,1,1,0.75,false,5329,19,0.007888943576973225,0,PACKAGE,.,.,com.pump.image.pixel.converter,converter,7849,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,0,4,1.0,false,123,3,0.003337730402180565,0,PACKAGE,.,.,com.pump.release,release,7862,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,2,3,0.8461538461538461,false,434,3,0.004928888677953654,0,PACKAGE,.,.,com.pump.plaf.combobox,combobox,11973,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.21428571428571427,false,PACKAGE,5,6,0.5862068965517241,false,1373,15,0.009497291177046351,0,PACKAGE,.,.,com.pump.plaf.button,button,11981,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.2857142857142857,false,PACKAGE,0,3,1.0,false,802,7,0.003337730402180565,0,PACKAGE,.,.,com.pump.plaf.decorate,decorate,11989,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,3,0,1.0,false,0,1,0.02197822972882027,0,PACKAGE,.,.,javax.media,media,7907,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.16666666666666666,false,PACKAGE,2,8,0.8571428571428571,false,542,6,0.004206997619468605,0,PACKAGE,.,.,com.pump.text.html.css.image,image,3946,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0967741935483871,false,PACKAGE,1,3,0.7,false,1884,31,0.003743027603156488,0,PACKAGE,.,.,com.pump.animation.quicktime.atom,atom,10105,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,1,3,0.75,false,99,3,0.0037670317115693535,0,PACKAGE,.,.,com.pump.awt.dnd,dnd,1936,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.17391304347826086,false,PACKAGE,20,7,0.11904761904761904,false,6933,48,0.03748600699042842,0,PACKAGE,.,.,com.pump.geom,geom,1993,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,0,8,0.0,false,12,3,0.003337730402180565,0,PACKAGE,.,.,com.pump.showcase,showcase,8189,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,CONCRETE_CLASS,1,3,0.0,false,18,0,3.700864893780127E-4,0,CONCRETE_CLASS,/component-annotator/data/repository/pumpernickel/src/main/java/com/pump/animation/quicktime/atom/WindowLocationAtom.java,src/main/java/com/pump/animation/quicktime/atom/WindowLocationAtom.java,com.pump.animation.quicktime.atom.WindowLocationAtom,WindowLocationAtom,10241,unit
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,CONCRETE_CLASS,1,1,0.0,false,11,0,3.998737419075752E-4,0,CONCRETE_CLASS,/component-annotator/data/repository/pumpernickel/src/main/java/com/pump/awt/BufferedImagePaintable.java,src/main/java/com/pump/awt/BufferedImagePaintable.java,com.pump.awt.BufferedImagePaintable,BufferedImagePaintable,4099,unit
